,Unnamed: 0.1,Unnamed: 0,id,author,title,location,city,price,no_of_bedrooms,no_of_bathrooms,no_of_floor,parking_area,facing_side,built_date,area1,area2,area3,area_formating,road_width,purpose,property_type,latitude,longitude
2062,2062,2062,2063,1,"House For Sale In Syuchatar, Kathmandu","Syuchatar, Syuchatar, Kathmandu",Kathmandu,20000000.0,5,3,3.0,0,North,01/01/2075,0.0,3.0,0.0,HM,20 Feet,SL,H,85.262028,27.706686
2063,2063,2063,2064,1,"Apartment For Sale In Tripureshwor, Kathmandu","Tripureshwor, Tripureshwor, Kathmandu",Kathmandu,25000000.0,3,4,4.0,0,South East,01/01/2075,0.0,0.0,0.0,HM,13 Feet,SL,H,85.33218,27.70704
2064,2064,2064,2065,1,"House For Sale In Balkhu, Kathmandu","Kumari Club, Balkhu, Kathmandu",Kathmandu,49500000.0,7,7,3.0,0,South,01/01/2075,0.0,9.0,0.0,HM,10 Feet,SL,H,85.2959839,27.682083
2065,2065,2065,2066,1,"Land For Sale In Godawari, Lalitpur","Devi Chaur, Godawari, Lalitpur",Lalitpur,300000.0,0,0,0.0,0,South East,01/01/2075,10.0,22.0,0.0,HM,20 Feet,RT,L,0.0,0.0
2066,2066,2066,2067,1,"House For Sale In Kirtipur, Kirtipur","Bhatkeko Party, Kirtipur, Kathmandu",Kathmandu,18000000.0,4,4,2.0,0,South East,01/01/2075,0.0,6.0,0.0,HM,20 Feet,SL,H,85.279492,27.679566
2067,2067,2067,2068,1,"House For Sale In Baneshwor, Kathmandu","Behind Bicc Hall, Baneshwor, Kathmandu",Kathmandu,6000000.0,0,0,0.0,0,South,01/01/2075,9.0,5.0,0.0,HM,20 Feet,SL,H,85.33218,27.70704
2068,2068,2068,2069,1,"Land For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,2650000.0,0,0,0.0,0,North,01/01/2075,0.0,8.0,0.0,HM,13 Feet,RT,L,85.3011306,27.6538425
2069,2069,2069,2070,1,"House For Sale In Hattisar, Kathmandu","Hattisar, Hattisar, Kathmandu",Kathmandu,43500000.0,6,0,3.0,0,West,01/01/2075,0.0,3.0,0.0,HM,20 Feet,SL,H,85.3220291,27.7112307
2070,2070,2070,2071,1,"House For Sale In Lokanthali, Bhaktapur","Lokanthali, Lokanthali, Bhaktapur",Bhaktapur,35000000.0,14,4,3.0,0,East,01/01/2075,7.0,1.0,0.0,HM,14 Feet,SL,H,85.367829,27.6836466
2071,2071,2071,2072,1,"House For Sale In Ravi Bhawan, Kathmandu","Ravi Bhawan, Ravi Bhawan, Kathmandu",Kathmandu,60000000.0,0,0,3.0,0,East,01/01/2075,0.0,12.0,0.0,HM,13 Feet,SL,H,85.29209,27.69628
2072,2072,2072,2073,1,"Land For Sale In Sankhamul, Kathmandu","Manidol, Sankhamul, Kathmandu",Kathmandu,4200000.0,0,0,0.0,0,West,01/01/2075,0.0,22.0,0.0,HM,20 Feet,RT,L,85.3327265,27.68244595
2073,2073,2073,2074,1,"House For Sale In Swayambhu, Kathmandu","Halchowk, Swayambhu, Kathmandu",Kathmandu,13000000.0,4,2,0.0,0,South,01/01/2075,4.0,8.0,0.0,HM,16 Feet,SL,H,85.293951,27.715951
2074,2074,2074,2075,1,"Land For Sale In Kalanki, Kathmandu","Kalanki, Kalanki, Kathmandu",Kathmandu,2700000.0,0,0,0.0,0,North East,01/01/2075,7.0,3.0,0.0,HM,13 Feet,RT,L,85.2818363,27.6933714
2075,2075,2075,2076,1,"Land For Sale In Kirtipur, Kirtipur","Bhatkya Party, Kirtipur, Kathmandu",Kathmandu,2100000.0,0,0,0.0,0,North East,01/01/2075,0.0,6.0,0.0,HM,22 Feet,RT,L,85.279492,27.679566
2076,2076,2076,2077,1,"House For Sale In Kalanki, Kathmandu","Kalanki, Kalanki, Kathmandu",Kathmandu,38000000.0,7,4,3.0,4,East,01/01/2075,6.0,1.0,0.0,HM,14 Feet,SL,H,85.2818363,27.6933714
2077,2077,2077,2078,1,"Land For Sale In Tahachal, Kathmandu","Tahachal, Tahachal, Kathmandu",Kathmandu,3700000.0,0,0,0.0,0,North East,01/01/2075,0.0,2.0,5.0,HM,16 Feet,RT,L,85.296429,27.700328
2078,2078,2078,2079,1,"Land For Sale In Hattiban, Lalitpur","Hattiban, Hattiban, Lalitpur",Lalitpur,2800000.0,0,0,0.0,0,South,01/01/2075,7.0,1.0,1.0,HM,20 Feet,RT,L,85.33910914,27.6590252
2079,2079,2079,2080,1,"House For Sale In Thulo Bharyang, Kathmandu","Thulo Bharyang, Thulo Bharyang, Kathmandu",Kathmandu,70000000.0,3,4,2.0,4,North West,01/01/2075,0.0,6.0,25.0,HM,20 Feet,SL,H,85.28553947,27.7207574
2080,2080,2080,2081,1,"Business For Sale In Godawari, Lalitpur","Godawari, Godawari, Lalitpur",Lalitpur,251000000.0,0,0,0.0,0,North East,01/01/2075,0.0,156.0,0.0,HM,16 Feet,SL,H,85.38446179,27.58671795
2081,2081,2081,2082,1,"House For Sale In Kalanki, Kathmandu","Durga Nagar Colony, Kalanki, Kathmandu",Kathmandu,41500000.0,8,7,3.0,0,East,01/01/2075,0.0,7.0,0.0,HM,14 Feet,SL,H,85.28427,27.69397
2082,2082,2082,2083,1,"House For Sale In Dadikot, Bhaktapur","Dadikot, Dadikot, Bhaktapur",Bhaktapur,22500000.0,12,4,0.0,0,South,01/01/2075,0.0,4.0,0.0,HM,20 Feet,SL,H,0.0,0.0
2083,2083,2083,2084,1,"Land For Sale In Hattigauda, Kathmandu","Near Itali Chowk, Hattigauda, Kathmandu",Kathmandu,5500000.0,0,0,0.0,0,South East,01/01/2075,0.0,7.0,0.0,HM,20 Feet,RT,L,85.33218,27.70704
2084,2084,2084,2085,1,"House For Sale In Thapathali, Kathmandu","Thapathali, Thapathali, Kathmandu",Kathmandu,40100000.0,5,2,2.0,0,East,01/01/2075,0.0,4.0,0.0,HM,14 Feet,SL,H,85.3204209,27.6890227
2085,2085,2085,2086,1,"Land For Sale In Hattigauda, Kathmandu","Near VDC, Hattigauda, Kathmandu",Kathmandu,1800000.0,0,0,0.0,0,South East,01/01/2075,0.0,15.0,0.0,HM,16 Feet,RT,L,85.33218,27.70704
2086,2086,2086,2087,1,"Office Space For Rent In Chabahil, Kathmandu","Near Dhumbarahi, Chabahil, Kathmandu",Kathmandu,975000.0,0,0,2.0,0,West,01/01/2075,0.0,0.0,0.0,HM,20 Feet,RT,H,85.34937,27.71795
2087,2087,2087,2088,1,"House For Sale In Thamel, Kathmandu","Cheetrapati Chowk, Thamel, Kathmandu",Kathmandu,65000000.0,23,16,7.0,4,West,01/01/2075,0.0,3.0,0.0,HM,12 Feet,SL,H,85.33218,27.70704
2088,2088,2088,2089,1,"Land For Sale In Durbar Marg, Kathmandu","Near ACE Travel, Durbar Marg, Kathmandu",Kathmandu,13000000.0,0,0,0.0,0,North,01/01/2075,0.0,11.0,0.0,HM,17 Feet,RT,L,85.316218,27.705442
2089,2089,2089,2090,1,"Land For Sale In Tripureshwor, Kathmandu","Near Bluebird, Tripureshwor, Kathmandu",Kathmandu,13500000.0,0,0,0.0,0,North East,01/01/2075,0.0,17.0,0.0,HM,20 Feet,RT,L,85.33218,27.70704
2090,2090,2090,2091,1,"Land For Sale In Durbar Marg, Kathmandu","Durbarmarg, Durbar Marg, Kathmandu",Kathmandu,13000000.0,0,0,0.0,0,South East,01/01/2075,0.0,80.0,0.0,HM,20 Feet,RT,L,85.3177122,27.7111138
2091,2091,2091,2092,1,"House For Rent In Mandikatar, Kathmandu","Mandikatar, Mandikatar, Kathmandu",Kathmandu,150000.0,4,3,3.0,3,West,01/01/2075,0.0,16.0,0.0,HM,13 Feet,RT,H,85.33218,27.70704
2092,2092,2092,2093,1,"Land For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",Kathmandu,2500000.0,0,0,0.0,0,North East,01/01/2075,0.0,6.0,0.0,HM,12 Feet,RT,L,85.3491095,27.756692
2093,2093,2093,2094,1,"MULPANI : House For Sale In Mulpani, Kathmandu","nearby greenhill city, Mulpani, Kathmandu",Kathmandu,16500000.0,5,3,3.0,1,North,01/01/2075,0.0,3.0,0.0,HM,10 Feet,SL,H,0.0,0.0
2094,2094,2094,2095,1,"Land For Sale In Basbari, Kathmandu","Dharapati, Basbari, Kathmandu",Kathmandu,2700000.0,0,0,0.0,0,South,01/01/2075,0.0,60.0,0.0,HM,12 Feet,RT,L,85.345039,27.741083
2095,2095,2095,2096,1,"Land For Sale In Baluwatar, Kathmandu","Near PM House, Baluwatar, Kathmandu",Kathmandu,4800000.0,0,0,0.0,0,South East,01/01/2075,0.0,11.0,0.0,HM,12 Feet,RT,L,85.33218,27.70704
2096,2096,2096,2097,1,"Land For Sale In Chapali, Kathmandu","Bhangal, Chapali, Kathmandu",Kathmandu,1850000.0,0,0,0.0,0,North East,01/01/2075,0.0,20.0,0.0,HM,15 Feet,RT,L,85.356989,27.762082
2097,2097,2097,2098,1,"Land For Sale In Sanepa, Lalitpur","Sanepa Height, Sanepa, Lalitpur",Lalitpur,6800000.0,0,0,0.0,0,East,01/01/2075,0.0,6.0,0.0,HM,15 Feet,RT,L,78.418796,24.692493
